l_orderkey | l_partkey | l_suppkey | l_linenumber | l_quantity | l_extendedprice | l_discount | l_tax | l_returnflag | l_linestatus | l_shipdate | l_commitdate | l_receiptdate | l_shipinstruct | l_shipmode | l_comment
5382 | 54879 | 7385 | 2 | 13 | 23840.31 | 0.09 | 0.06 | A | F | 1992-01-16 | 1992-03-12 | 1992-02-06 | NONE | MAIL | eodolites. final foxes 
23015 | 25839 | 844 | 3 | 13 | 22942.79 | 0.00 | 0.00 | A | F | 1992-01-16 | 1992-03-20 | 1992-02-02 | COLLECT COD | TRUCK | tly special forges 
35811 | 9023 | 6524 | 1 | 23 | 21436.46 | 0.07 | 0.04 | A | F | 1992-01-16 | 1992-03-14 | 1992-02-13 | TAKE BACK RETURN | REG AIR | e accounts; e
54214 | 76863 | 6864 | 1 | 5 | 9199.3 | 0.07 | 0.01 | A | F | 1992-01-16 | 1992-03-21 | 1992-02-15 | NONE | RAIL | sly express att
77825 | 101311 | 1312 | 2 | 25 | 32807.75 | 0.09 | 0.03 | R | F | 1992-01-16 | 1992-02-16 | 1992-02-09 | DELIVER IN PERSON | SHIP | e. pinto beans
93319 | 22442 | 2443 | 6 | 27 | 36839.88 | 0.01 | 0.08 | R | F | 1992-01-16 | 1992-03-26 | 1992-01-27 | DELIVER IN PERSON | REG AIR | se? thinly pending excuses are after the 
95203 | 42920 | 5425 | 2 | 21 | 39121.32 | 0.00 | 0.05 | R | F | 1992-01-16 | 1992-03-23 | 1992-01-27 | COLLECT COD | TRUCK | ffix furiously bold deposits. fluffily 
13027 | 100270 | 271 | 1 | 30 | 38108.1 | 0.05 | 0.02 | A | F | 1992-01-17 | 1992-02-24 | 1992-02-04 | DELIVER IN PERSON | TRUCK |  accounts. unusual deposits are carefull
22693 | 51875 | 1876 | 1 | 44 | 80382.28 | 0.02 | 0.07 | A | F | 1992-01-17 | 1992-03-11 | 1992-02-13 | DELIVER IN PERSON | MAIL | poach blithely. furi
54307 | 30263 | 264 | 3 | 40 | 47730.4 | 0.09 | 0.05 | A | F | 1992-01-17 | 1992-03-08 | 1992-01-30 | NONE | AIR | fily ironic platelets boost am
55011 | 171852 | 6887 | 6 | 20 | 38477 | 0.03 | 0.00 | A | F | 1992-01-17 | 1992-02-07 | 1992-02-02 | TAKE BACK RETURN | AIR | blithely regular 
72901 | 83360 | 885 | 3 | 6 | 8060.16 | 0.00 | 0.05 | A | F | 1992-01-17 | 1992-04-03 | 1992-02-08 | NONE | FOB | al ideas haggle blithely busily even d
72901 | 28787 | 6294 | 4 | 11 | 18873.58 | 0.03 | 0.00 | A | F | 1992-01-17 | 1992-03-14 | 1992-02-12 | COLLECT COD | SHIP | ully even instructio
75362 | 161110 | 3627 | 2 | 29 | 33962.19 | 0.01 | 0.03 | A | F | 1992-01-17 | 1992-03-04 | 1992-02-12 | COLLECT COD | AIR | after the regular requests. blithe, fi
86595 | 114045 | 6557 | 2 | 40 | 42361.6 | 0.09 | 0.07 | R | F | 1992-01-17 | 1992-03-25 | 1992-02-09 | TAKE BACK RETURN | RAIL | ly regular packages w
95108 | 69034 | 4047 | 4 | 8 | 8024.24 | 0.02 | 0.02 | A | F | 1992-01-17 | 1992-02-13 | 1992-01-24 | COLLECT COD | FOB | deposits above the carefully
95527 | 158022 | 8023 | 6 | 4 | 4320.08 | 0.01 | 0.05 | A | F | 1992-01-17 | 1992-02-16 | 1992-02-08 | DELIVER IN PERSON | TRUCK | . carefully ironic foxes are. unusual
16064 | 166264 | 8781 | 2 | 43 | 57201.18 | 0.04 | 0.04 | A | F | 1992-01-18 | 1992-02-12 | 1992-01-26 | COLLECT COD | RAIL | across the furiously 
26818 | 121693 | 1694 | 2 | 50 | 85734.5 | 0.03 | 0.00 | A | F | 1992-01-18 | 1992-03-03 | 1992-02-04 | DELIVER IN PERSON | REG AIR | equests detect fluffily about th
51970 | 181640 | 1641 | 2 | 3 | 5164.92 | 0.05 | 0.03 | A | F | 1992-01-18 | 1992-02-19 | 1992-02-11 | DELIVER IN PERSON | REG AIR | y deposits. slyly final ideas are slyly. f
7618 | 49934 | 4943 | 1 | 45 | 84776.85 | 0.08 | 0.00 | R | F | 1992-01-19 | 1992-02-06 | 1992-02-12 | TAKE BACK RETURN | AIR | ckly pendi
22914 | 131496 | 9036 | 6 | 42 | 64154.58 | 0.08 | 0.06 | R | F | 1992-01-19 | 1992-03-22 | 1992-02-06 | TAKE BACK RETURN | AIR | unusual ac
36357 | 83894 | 6403 | 6 | 12 | 22534.68 | 0.02 | 0.02 | A | F | 1992-01-19 | 1992-03-31 | 1992-02-06 | COLLECT COD | SHIP | its. fluffily ironic acco
45697 | 109554 | 2065 | 3 | 29 | 45342.95 | 0.07 | 0.08 | A | F | 1992-01-19 | 1992-02-22 | 1992-01-23 | TAKE BACK RETURN | RAIL | uses cajole. 
51970 | 60499 | 5512 | 6 | 16 | 23351.84 | 0.10 | 0.05 | A | F | 1992-01-19 | 1992-02-13 | 1992-01-26 | NONE | SHIP | ng dependencies. ruthless
75045 | 42309 | 2310 | 6 | 33 | 41292.9 | 0.09 | 0.07 | R | F | 1992-01-19 | 1992-02-23 | 1992-02-14 | TAKE BACK RETURN | FOB | quickly. carefully fluf
13444 | 185975 | 5976 | 7 | 35 | 72133.95 | 0.09 | 0.03 | A | F | 1992-01-20 | 1992-04-04 | 1992-02-19 | DELIVER IN PERSON | TRUCK | y. final asymptotes believe finally.
51648 | 54114 | 6620 | 6 | 47 | 50201.17 | 0.06 | 0.05 | R | F | 1992-01-20 | 1992-03-28 | 1992-02-03 | COLLECT COD | RAIL | g accounts. quickly 
59456 | 186177 | 6178 | 1 | 7 | 8842.19 | 0.09 | 0.05 | A | F | 1992-01-20 | 1992-02-10 | 1992-02-07 | COLLECT COD | REG AIR | blithely. daring, bold 
22693 | 62301 | 2302 | 2 | 37 | 46742.1 | 0.03 | 0.00 | R | F | 1992-01-21 | 1992-03-09 | 1992-02-01 | DELIVER IN PERSON | RAIL | ons haggle carefully agai
26818 | 179578 | 7130 | 4 | 50 | 82878.5 | 0.07 | 0.08 | A | F | 1992-01-21 | 1992-03-12 | 1992-02-17 | TAKE BACK RETURN | RAIL | e. furiously regular reque
51269 | 29817 | 2320 | 3 | 4 | 6987.24 | 0.09 | 0.06 | A | F | 1992-01-21 | 1992-02-21 | 1992-02-10 | COLLECT COD | AIR | ependencies cajole. deposit
51970 | 104027 | 4028 | 1 | 10 | 10310.2 | 0.00 | 0.06 | R | F | 1992-01-21 | 1992-03-26 | 1992-01-24 | DELIVER IN PERSON | MAIL | s thrash blithel
67235 | 45098 | 107 | 3 | 31 | 32335.79 | 0.06 | 0.02 | R | F | 1992-01-21 | 1992-02-16 | 1992-01-25 | DELIVER IN PERSON | REG AIR | en deposits. 
87619 | 174839 | 7357 | 2 | 9 | 17224.47 | 0.06 | 0.01 | R | F | 1992-01-21 | 1992-03-20 | 1992-02-03 | COLLECT COD | MAIL | r the carefully special requ
100448 | 10839 | 5842 | 4 | 30 | 52494.9 | 0.03 | 0.01 | R | F | 1992-01-21 | 1992-03-23 | 1992-02-06 | DELIVER IN PERSON | RAIL |  among the
8034 | 113062 | 3063 | 3 | 16 | 17200.96 | 0.00 | 0.03 | R | F | 1992-01-22 | 1992-02-21 | 1992-01-24 | TAKE BACK RETURN | FOB | , bold decoys nod. carefu
16164 | 167518 | 35 | 2 | 16 | 25368.16 | 0.08 | 0.05 | A | F | 1992-01-22 | 1992-04-01 | 1992-02-12 | NONE | REG AIR | packages print
84645 | 87373 | 9882 | 1 | 48 | 65297.76 | 0.09 | 0.00 | R | F | 1992-01-22 | 1992-03-03 | 1992-01-29 | COLLECT COD | FOB | . blithely unusual foxes
85030 | 64159 | 1678 | 2 | 13 | 14600.95 | 0.05 | 0.04 | R | F | 1992-01-22 | 1992-02-12 | 1992-02-15 | DELIVER IN PERSON | AIR | uriously silent pinto beans nag
7618 | 198021 | 5579 | 6 | 15 | 16785.3 | 0.05 | 0.05 | A | F | 1992-01-23 | 1992-02-09 | 1992-02-09 | NONE | TRUCK | as along the fluffily even theodolites be
24005 | 106084 | 1105 | 3 | 42 | 45783.36 | 0.09 | 0.04 | A | F | 1992-01-23 | 1992-02-19 | 1992-02-04 | TAKE BACK RETURN | MAIL | usly according to the slyly ir
27137 | 82874 | 2875 | 4 | 38 | 70561.06 | 0.07 | 0.02 | A | F | 1992-01-23 | 1992-02-02 | 1992-01-28 | COLLECT COD | FOB | pecial dependencies are carefully across
38147 | 73642 | 3643 | 1 | 29 | 46853.56 | 0.05 | 0.06 | A | F | 1992-01-23 | 1992-02-12 | 1992-01-29 | NONE | AIR | ayers are alongside of the carefu
51044 | 94511 | 9530 | 7 | 34 | 51187.34 | 0.04 | 0.05 | R | F | 1992-01-23 | 1992-03-15 | 1992-02-09 | TAKE BACK RETURN | TRUCK |  are. unusual dep
51232 | 56985 | 1996 | 1 | 49 | 95157.02 | 0.05 | 0.06 | A | F | 1992-01-23 | 1992-04-05 | 1992-02-18 | DELIVER IN PERSON | RAIL | ng the bold excuses. theodolites
72901 | 10037 | 38 | 2 | 7 | 6629.21 | 0.08 | 0.03 | R | F | 1992-01-23 | 1992-03-08 | 1992-02-03 | TAKE BACK RETURN | TRUCK | refully. quickly ironic deposits across th
73990 | 163161 | 5678 | 3 | 40 | 48966.4 | 0.03 | 0.00 | A | F | 1992-01-23 | 1992-03-10 | 1992-02-20 | TAKE BACK RETURN | AIR | pecial theodolites. 
76551 | 128942 | 6479 | 1 | 49 | 96576.06 | 0.06 | 0.06 | R | F | 1992-01-23 | 1992-04-02 | 1992-02-11 | DELIVER IN PERSON | FOB | sly daring deposits. ironic, even ho
88199 | 48075 | 8076 | 1 | 29 | 29669.03 | 0.07 | 0.05 | R | F | 1992-01-23 | 1992-03-18 | 1992-02-08 | TAKE BACK RETURN | RAIL | he pending foxes cajol
7042 | 157416 | 2447 | 3 | 35 | 51569.35 | 0.07 | 0.05 | R | F | 1992-01-24 | 1992-02-13 | 1992-02-05 | DELIVER IN PERSON | MAIL | y. requests wake blithely pinto be
13444 | 73626 | 8641 | 5 | 38 | 60785.56 | 0.04 | 0.01 | A | F | 1992-01-24 | 1992-03-13 | 1992-02-18 | DELIVER IN PERSON | REG AIR | foxes about the carefully pen
16064 | 18967 | 8968 | 1 | 46 | 86754.16 | 0.08 | 0.06 | A | F | 1992-01-24 | 1992-02-25 | 1992-02-04 | TAKE BACK RETURN | REG AIR | sual dependencies. unusual, fin
18180 | 62921 | 440 | 2 | 8 | 15071.36 | 0.00 | 0.00 | R | F | 1992-01-24 | 1992-02-27 | 1992-02-01 | NONE | REG AIR | inst the acc
24290 | 169353 | 1870 | 2 | 18 | 25602.3 | 0.02 | 0.06 | A | F | 1992-01-24 | 1992-03-21 | 1992-02-02 | TAKE BACK RETURN | FOB | e express, ironic packa
50433 | 137870 | 2897 | 4 | 20 | 38157.4 | 0.02 | 0.02 | A | F | 1992-01-24 | 1992-04-04 | 1992-02-06 | COLLECT COD | MAIL | platelets. slyly even re
59456 | 24109 | 1616 | 4 | 3 | 3099.3 | 0.04 | 0.00 | R | F | 1992-01-24 | 1992-03-20 | 1992-02-22 | DELIVER IN PERSON | FOB | long the carefully ironic d
4998 | 144589 | 2132 | 5 | 24 | 39205.92 | 0.01 | 0.04 | R | F | 1992-01-25 | 1992-03-16 | 1992-01-27 | COLLECT COD | REG AIR |  unwind about
6501 | 197166 | 2205 | 4 | 30 | 37894.8 | 0.06 | 0.03 | R | F | 1992-01-25 | 1992-04-04 | 1992-02-13 | NONE | MAIL | ages are caref
15491 | 39091 | 4098 | 5 | 1 | 1030.09 | 0.06 | 0.03 | A | F | 1992-01-25 | 1992-03-31 | 1992-02-11 | TAKE BACK RETURN | FOB | dencies thrash above
33956 | 109007 | 1518 | 2 | 5 | 5080 | 0.08 | 0.02 | A | F | 1992-01-25 | 1992-03-18 | 1992-02-05 | TAKE BACK RETURN | FOB | ously slyly final packages. packages hagg
39942 | 171588 | 1589 | 1 | 22 | 36510.76 | 0.09 | 0.06 | A | F | 1992-01-25 | 1992-03-19 | 1992-01-26 | COLLECT COD | RAIL | ly even instructions
77634 | 168125 | 5674 | 1 | 4 | 4772.48 | 0.08 | 0.04 | A | F | 1992-01-25 | 1992-02-05 | 1992-02-02 | COLLECT COD | REG AIR | y. pending p
89954 | 189384 | 9385 | 4 | 18 | 26520.84 | 0.06 | 0.06 | A | F | 1992-01-25 | 1992-03-18 | 1992-02-24 | COLLECT COD | TRUCK | l pinto bea
95527 | 190467 | 2987 | 3 | 48 | 74758.08 | 0.07 | 0.08 | A | F | 1992-01-25 | 1992-03-20 | 1992-02-05 | TAKE BACK RETURN | REG AIR | accounts. regularly even deposits hag
6373 | 5570 | 5571 | 5 | 5 | 7377.85 | 0.05 | 0.04 | A | F | 1992-01-26 | 1992-04-12 | 1992-02-23 | TAKE BACK RETURN | AIR | ven ideas among the furiously e
18625 | 78396 | 8397 | 1 | 7 | 9620.73 | 0.01 | 0.08 | R | F | 1992-01-26 | 1992-02-28 | 1992-02-08 | NONE | RAIL | yly bold deposits int
25442 | 176552 | 4104 | 1 | 17 | 27685.35 | 0.00 | 0.03 | A | F | 1992-01-26 | 1992-02-21 | 1992-02-20 | COLLECT COD | AIR | ly unusual ideas
39619 | 141637 | 1638 | 2 | 32 | 53716.16 | 0.10 | 0.01 | R | F | 1992-01-26 | 1992-02-07 | 1992-02-16 | COLLECT COD | RAIL | al platelets slee
95750 | 168750 | 8751 | 6 | 13 | 23643.75 | 0.03 | 0.08 | A | F | 1992-01-26 | 1992-04-12 | 1992-02-22 | COLLECT COD | TRUCK | ironic packages-- car
4800 | 96498 | 1517 | 1 | 11 | 16439.39 | 0.03 | 0.03 | R | F | 1992-01-27 | 1992-03-16 | 1992-02-19 | TAKE BACK RETURN | RAIL | ic dependenc
10432 | 64660 | 2179 | 4 | 18 | 29243.88 | 0.06 | 0.07 | A | F | 1992-01-27 | 1992-03-19 | 1992-02-06 | NONE | FOB |  ironic ideas. 
23334 | 13775 | 3776 | 1 | 32 | 54040.64 | 0.10 | 0.04 | R | F | 1992-01-27 | 1992-03-25 | 1992-02-01 | COLLECT COD | REG AIR | nts nag abo
25351 | 172899 | 2900 | 1 | 23 | 45353.47 | 0.03 | 0.05 | R | F | 1992-01-27 | 1992-03-27 | 1992-02-06 | TAKE BACK RETURN | REG AIR | nding pinto
38690 | 53096 | 3097 | 1 | 18 | 18883.62 | 0.06 | 0.01 | R | F | 1992-01-27 | 1992-04-09 | 1992-02-06 | NONE | SHIP | egrate. spec
58915 | 163177 | 8210 | 3 | 40 | 49606.8 | 0.07 | 0.08 | R | F | 1992-01-27 | 1992-03-13 | 1992-02-20 | NONE | FOB | pinto beans among
59718 | 4932 | 7433 | 2 | 23 | 42249.39 | 0.09 | 0.05 | A | F | 1992-01-27 | 1992-02-12 | 1992-02-05 | NONE | AIR | ously ironic deposits. blith
60869 | 42419 | 2420 | 5 | 50 | 68070.5 | 0.02 | 0.06 | R | F | 1992-01-27 | 1992-04-16 | 1992-02-26 | COLLECT COD | MAIL | ly final requests. regular, final foxes b
72487 | 35644 | 8148 | 5 | 29 | 45809.56 | 0.06 | 0.03 | R | F | 1992-01-27 | 1992-03-20 | 1992-02-19 | COLLECT COD | SHIP | g the carefully pending dependencies.
83782 | 183182 | 737 | 2 | 18 | 22773.24 | 0.09 | 0.01 | R | F | 1992-01-27 | 1992-03-23 | 1992-02-14 | DELIVER IN PERSON | MAIL | eposits. furiously ironic in
99776 | 189582 | 2101 | 3 | 46 | 76892.68 | 0.00 | 0.07 | R | F | 1992-01-27 | 1992-03-04 | 1992-02-07 | NONE | MAIL | ly! blithely pending depo
8034 | 18816 | 3819 | 6 | 28 | 48574.68 | 0.04 | 0.04 | R | F | 1992-01-28 | 1992-02-22 | 1992-01-30 | TAKE BACK RETURN | RAIL | ong the furiously express pearls. ca
10945 | 155258 | 5259 | 3 | 17 | 22325.25 | 0.09 | 0.01 | A | F | 1992-01-28 | 1992-02-13 | 1992-02-22 | NONE | FOB | telets use slyly according to the furi
26759 | 94980 | 2508 | 7 | 2 | 3949.96 | 0.00 | 0.04 | R | F | 1992-01-28 | 1992-04-16 | 1992-02-13 | COLLECT COD | SHIP | leep furiously slyly unusu
29090 | 183353 | 5872 | 7 | 41 | 58890.35 | 0.04 | 0.08 | R | F | 1992-01-28 | 1992-04-07 | 1992-02-19 | TAKE BACK RETURN | REG AIR | ever pending packages after the specia
48704 | 191186 | 8744 | 6 | 19 | 24266.42 | 0.00 | 0.04 | R | F | 1992-01-28 | 1992-04-03 | 1992-02-27 | COLLECT COD | TRUCK | s pains along the slyly express theodol
11969 | 125906 | 8419 | 2 | 38 | 73412.2 | 0.09 | 0.05 | A | F | 1992-01-29 | 1992-03-26 | 1992-02-10 | DELIVER IN PERSON | AIR | yly final hockey players al
15491 | 1352 | 1353 | 6 | 2 | 2506.7 | 0.00 | 0.02 | A | F | 1992-01-29 | 1992-03-16 | 1992-02-26 | COLLECT COD | RAIL | as carefully aft
18625 | 197814 | 334 | 2 | 47 | 89855.07 | 0.04 | 0.08 | R | F | 1992-01-29 | 1992-02-20 | 1992-02-23 | DELIVER IN PERSON | AIR | bove the quickly pen
20742 | 168539 | 3572 | 2 | 26 | 41795.78 | 0.07 | 0.02 | A | F | 1992-01-29 | 1992-03-16 | 1992-02-24 | DELIVER IN PERSON | AIR | thely brave ideas in place of the quickl
21382 | 167380 | 9897 | 6 | 43 | 62237.34 | 0.04 | 0.05 | A | F | 1992-01-29 | 1992-03-10 | 1992-02-23 | DELIVER IN PERSON | REG AIR | efully stealthy requests. fina
37377 | 120969 | 3482 | 3 | 49 | 97508.04 | 0.00 | 0.02 | A | F | 1992-01-29 | 1992-02-26 | 1992-02-03 | TAKE BACK RETURN | MAIL | to beans across the final, ironic pin
46563 | 20455 | 7962 | 3 | 20 | 27509 | 0.01 | 0.07 | A | F | 1992-01-29 | 1992-03-05 | 1992-02-05 | COLLECT COD | REG AIR | r requests 
90690 | 198680 | 1200 | 2 | 39 | 69368.52 | 0.07 | 0.03 | A | F | 1992-01-29 | 1992-02-02 | 1992-02-13 | COLLECT COD | RAIL | y theodolites. furiously final a
91940 | 25078 | 83 | 4 | 6 | 6018.42 | 0.10 | 0.01 | R | F | 1992-01-29 | 1992-03-08 | 1992-02-02 | DELIVER IN PERSON | AIR | , final requests. ironi
99776 | 24180 | 9185 | 2 | 29 | 32021.22 | 0.08 | 0.07 | R | F | 1992-01-29 | 1992-03-18 | 1992-02-24 | COLLECT COD | AIR | n requests haggle care
101027 | 127239 | 9752 | 6 | 23 | 29123.29 | 0.03 | 0.01 | R | F | 1992-01-29 | 1992-03-21 | 1992-02-10 | TAKE BACK RETURN | TRUCK | as solve quickly regular requ
7783 | 76898 | 1913 | 1 | 47 | 88119.83 | 0.01 | 0.00 | A | F | 1992-01-30 | 1992-03-31 | 1992-02-23 | DELIVER IN PERSON | REG AIR | egular, pending frays lose care
11969 | 29924 | 7431 | 1 | 10 | 18539.2 | 0.10 | 0.04 | R | F | 1992-01-30 | 1992-03-01 | 1992-02-01 | COLLECT COD | TRUCK | eans above
26053 | 174465 | 9500 | 5 | 16 | 24631.36 | 0.05 | 0.01 | A | F | 1992-01-30 | 1992-04-11 | 1992-02-25 | DELIVER IN PERSON | AIR |  carefully regular account
29223 | 83302 | 5811 | 5 | 7 | 8997.1 | 0.09 | 0.02 | R | F | 1992-01-30 | 1992-03-30 | 1992-02-28 | TAKE BACK RETURN | FOB | uickly pending accounts. carefully silent
